K67_Vmax25,K67_m,K67_LL,K34_Vmax25,K34_m,K34_LL,Guy_Vmax25,Guy_m,Guy_LL,K67_GPP_obs,K67_GPP_sim,K67_GPP_default,K67_NEE_obs,K67_NEE_sim,K67_NEE_default,K67_ET_obs,K67_ET_sim,K67_ET_default,K34_GPP_obs,K34_GPP_sim,K34_GPP_default,K34_NEE_obs,K34_NEE_sim,K34_NEE_default,K34_ET_obs,K34_ET_sim,K34_ET_default,Guy_GPP_obs,Guy_GPP_sim,Guy_GPP_default,Guy_NEE_obs,Guy_NEE_sim,Guy_NEE_default,Guy_ET_obs,Guy_ET_sim,Guy_ET_default
50.34540533,7.4,1.229855751,51.62621189,7.54184,1.093305544,51.39737965,7.47092,1.220510462,10.64076946,10.02769792,8.723268224,0.581995992,-0.468131929,-0.970358162,71.42288105,73.88817232,72.03990953,9.178557099,8.784083744,7.500942402,-2.601222307,-2.984633748,-2.397520973,92.09486166,97.74430846,94.22461432,11.3179,11.9,9.19E+00,-2.946867971,-3.17188652,-1.42810526,79.16441898,83.67577311,80.80890602
47.95925896,7.3,1.241725053,54.18169829,7.9816,1.103766232,52.00766076,7.6408,1.361730203,10.10791192,9.43762612,9.030472819,0.629264034,0.225569976,-0.524413186,76.77389259,76.39791559,75.80312608,9.178557099,8.273919995,7.711306812,-3.636554622,-3.751919876,-2.263885176,87.51646904,91.86527115,88.98965749,9.73371,11.5,9.05E+00,-4.175086336,-3.661691886,-1.810506853,76.83115838,79.89462003,77.71711609
47.9315571,7.2,1.252969654,54.72110951,7.999535462,1.115477922,52.07687683,7.599767731,1.349556472,10.3948975,9.289267136,9.363860287,0.937912225,0.467025073,-0.142734698,74.73081622,69.40494338,71.10753672,9.325533108,9.188710054,7.724189971,-3.966768139,-3.184866791,-2.194296708,84.779433,92.86045054,88.29538814,9.91033,10.4,9.15E+00,-4.478748099,-2.998056762,-0.27571486,74.49273868,79.3524142,76.37203607
46.73537132,7.1,1.276708258,52.7634448,7.80282986,1.124942539,50.58194472,7.45141493,1.202633188,8.685403166,9.309662057,10.3948975,0.79591116,0.262030076,0.847303515,82.22779751,75.99661995,78.04068365,9.163737631,9.085313064,8.492260177,-2.318719864,-2.855257136,-1.393265537,82.94826825,90.21633339,86.04354074,8.81796,9.59,9.11E+00,-2.543690489,-2.750445106,-0.051219359,74.52375669,78.63515163,75.99867239
47.21670619,7.1,1.296698662,51.02746988,7.492705451,1.149741777,49.89001618,7.296352726,1.308923599,8.40726183,9.214184961,10.62290067,0.792441584,0.29603381,1.082107432,87.22808819,84.08373718,84.65785776,8.578609573,8.696546644,8.721025818,-2.868069289,-3.844086101,-1.263382792,84.779433,92.36466556,88.02766425,9.60676,9.53,8.49E+00,-3.203950672,-3.725672577,-0.121137306,76.74224763,81.6376319,78.61833266
45.08009116,7.06,1.203310926,50.16858104,7.340341626,1.234088366,48.88298446,7.200170813,1.296596784,9.363860287,9.762057851,10.74875617,-0.129269597,-0.429710863,1.062813997,94.90496145,85.22138675,88.7267815,8.252175824,8.565973144,9.178557099,-2.318719864,-4.173695756,-0.838812477,82.94826825,88.23319347,84.97264519,9.77151,9.56,8.16E+00,-2.821244716,-4.345580101,-0.359021178,76.8056462,78.86774891,77.1511252
44.10587866,7.080279601,1.14055681,48.58777573,7.180479952,1.233313715,47.86829992,7.130379777,1.197399607,10.85330545,10.17338515,9.94743163,-1.015670567,-0.77511864,0.192407902,97.57918747,86.20575046,90.46173961,9.325533108,9.227388853,9.325533108,-2.3,-3.5069885,-0.625165742,94.7826087,94.48805692,93.67572465,9.02031,9.61,9.62E+00,-3.06470117,-3.817035956,-0.195809772,85.80773201,83.54843607,83.72963488
43.26809334,6.999607666,1.069381133,48.56163973,6.980953984,1.075864762,47.5902717,6.990280825,1.244460915,10.74875617,10.42646599,9.365501514,-0.97257033,-1.01504305,-0.437507096,101.0544395,88.31152325,93.16272033,7.711306812,8.697734733,9.163737631,-2.083284396,-2.431473294,-0.679409698,100.8695652,100.6514846,99.74310602,10.8873,10.4,9.82E+00,-2.791712374,-2.837490514,-0.279300411,90.81588605,88.3651431,88.584326
44.02076534,6.924859263,1.135444445,46.25084558,6.763588219,1.184610513,46.40148278,6.844223741,1.13487377,10.67751303,10.10022374,8.685403166,-0.68327967,-0.517706926,-1.018138219,93.36900096,85.34400923,88.10181542,7.724189971,8.709675989,9.325533108,-1.376977993,-2.090325193,-0.483499411,107.6689924,107.5678706,106.5376967,10.6403,10.4,9.85E+00,-1.857357493,-2.297407963,-0.072244924,94.3280947,92.81078849,92.5654684
48.68716,7.07885,1.204320988,44.81791773,6.55238279,1.132390151,47.06791133,6.815616395,1.177425859,10.96939604,10.09576485,8.40726183,0.08819425,-0.434167267,-1.279571623,81.23151014,75.41601656,77.27882851,9.001942153,8.943237275,9.026046672,-1.769370439,-1.968538856,-0.770807214,104.5617247,109.4209812,106.140106,10.0552,10.5,9.68E+00,-2.096786252,-2.142205763,-0.145448864,89.90611361,92.35798944,90.33106542
